时间,开盘价,最高价,最低价,收盘价,成交量,布林上轨1h,布林中轨1h,布林下轨1h,4小时起始时间,4小时收盘价,布林上轨4h,布林中轨4h,布林下轨4h,布林宽度4h,宽度达标4h,上穿上轨4h,跌破下轨4h,Armed当根4h,Armed持续4h,结构高,结构低,结构类型,HLH信号,入场评估,入场信号
2024-10-10 00:00:00+00:00,2370.47,2383.82,2366.87,2375.86,9710.1025,,2375.86,,,,,,,,,,,,False,0.0,0.0,0,False,False,
2024-10-10 01:00:00+00:00,2375.87,2400.6,2375.01,2391.7,10430.5143,2406.1811428279893,2383.78,2361.37885717201,,,,,,,,,,,False,0.0,0.0,0,False,False,
2024-10-10 02:00:00+00:00,2391.7,2400.36,2391.64,2394.43,12624.2333,2407.3833189273,2387.33,2367.2766810727003,,,,,,,,,,,False,0.0,0.0,0,False,False,
2024-10-10 03:00:00+00:00,2394.43,2398.4,2392.95,2395.3,5413.523,2407.532697692502,2389.3225,2371.1123023074983,2024-10-10 00:00:00+00:00,2395.3,,2395.3,,,False,False,False,False,False,2398.4,2392.95,1,False,False,
2024-10-10 04:00:00+00:00,2395.31,2399.43,2391.12,2394.8,4017.1174,2406.931960154972,2390.418,2373.9040398450284,2024-10-10 00:00:00+00:00,2395.3,,2395.3,,,False,False,False,False,False,2398.4,2392.95,1,False,False,
2024-10-10 05:00:00+00:00,2394.79,2411.38,2392.57,2405.58,6019.7819,2412.217420709397,2392.945,2373.672579290603,2024-10-10 00:00:00+00:00,2395.3,,2395.3,,,False,False,False,False,False,2398.4,2392.95,1,False,False,
2024-10-10 06:00:00+00:00,2405.58,2410.0,2400.69,2408.75,5468.4377,2416.4693463196054,2395.202857142857,2373.9363679661083,2024-10-10 00:00:00+00:00,2395.3,,2395.3,,,False,False,False,False,False,2410.0,2400.69,1,False,False,
2024-10-10 07:00:00+00:00,2408.74,2408.74,2394.51,2395.8,4512.7361,2414.9709702738896,2395.2775,2375.5840297261107,2024-10-10 04:00:00+00:00,2395.8,2396.257106781187,2395.55,2394.842893218813,0.0005903502587603,False,False,False,False,False,2408.74,2394.51,1,False,False,
2024-10-10 08:00:00+00:00,2395.78,2397.64,2380.61,2381.99,7221.8433,2414.2418484863733,2393.801111111111,2373.3603737358485,2024-10-10 04:00:00+00:00,2395.8,2396.257106781187,2395.55,2394.842893218813,0.0005903502587603,False,False,False,False,False,2397.64,2380.61,-1,False,False,
2024-10-10 09:00:00+00:00,2382.0,2388.1,2368.55,2387.09,11321.074,2412.863587836197,2393.13,2373.3964121638032,2024-10-10 04:00:00+00:00,2395.8,2396.257106781187,2395.55,2394.842893218813,0.0005903502587603,False,False,False,False,False,2388.1,2368.55,-1,False,False,
2024-10-10 10:00:00+00:00,2387.08,2400.7,2387.08,2397.21,6559.628,2412.382812500355,2393.5009090909093,2374.6190056814635,2024-10-10 04:00:00+00:00,2395.8,2396.257106781187,2395.55,2394.842893218813,0.0005903502587603,False,False,False,False,False,2400.7,2387.08,1,False,False,
